# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=35
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=bayes/samples/performance.samples_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,shape1.1,shape1.2,shape1.3,shape1.4,shape1.5,shape1.6,shape1.7,shape1.8,shape1.9,shape1.10,shape1.11,shape1.12,shape1.13,shape1.14,shape2.1,shape2.2,shape2.3,shape2.4,shape2.5,shape2.6,shape2.7,shape2.8,shape2.9,shape2.10,shape2.11,shape2.12,shape2.13,shape2.14,stretch.1,stretch.2,stretch.3,stretch.4,stretch.5,stretch.6,stretch.7,stretch.8,stretch.9,stretch.10,stretch.11,stretch.12,stretch.13,stretch.14,min_max.1.1,min_max.2.1,min_max.3.1,min_max.4.1,min_max.5.1,min_max.6.1,min_max.7.1,min_max.8.1,min_max.9.1,min_max.10.1,min_max.11.1,min_max.12.1,min_max.13.1,min_max.14.1,min_max.1.2,min_max.2.2,min_max.3.2,min_max.4.2,min_max.5.2,min_max.6.2,min_max.7.2,min_max.8.2,min_max.9.2,min_max.10.2,min_max.11.2,min_max.12.2,min_max.13.2,min_max.14.2,nu.1,nu.2,nu.3,nu.4,nu.5,nu.6,nu.7,nu.8,nu.9,nu.10,nu.11,nu.12,nu.13,nu.14,mu_shape1,mu_shape2,mu_stretch,mu_min,mu_max,mu_nu,x_min.1,x_min.2,x_min.3,x_min.4,x_min.5,x_min.6,x_min.7,x_min.8,x_min.9,x_min.10,x_min.11,x_min.12,x_min.13,x_min.14,x_max.1,x_max.2,x_max.3,x_max.4,x_max.5,x_max.6,x_max.7,x_max.8,x_max.9,x_max.10,x_max.11,x_max.12,x_max.13,x_max.14
-2194.75,1,0.03125,2,3,0,4250.94,2.23763,3.20732,6.06961,2.40717,2.30654,2.39398,6.40941,7.18686,2.4238,7.10647,2.31959,3.06167,2.13054,7.94879,4.0126,4.07261,3.21037,3.50102,2.64117,2.64759,4.78571,2.62457,3.05347,4.27265,2.75702,2.19275,2.39071,2.22098,0.343759,1.0454,3.84278,0.972159,6.35202,4.41307,0.286588,1.71653,1.02512,2.84336,2.18281,4.27787,0.540421,0.620426,1.89152,1.47645,-1.76485,0.948454,-0.228702,-1.65142,1.44716,-1.06655,1.60054,0.353575,-1.62053,-0.429939,-2.03083,-0.299788,2.04581,1.91798,-1.40278,1.43056,0.733573,-0.968485,1.7784,-0.488804,3.9553,1.60264,0.928995,-0.276654,-0.44406,0.297109,1.25622,0.298519,0.828629,0.316463,2.73221,0.467724,1.52932,0.365838,2.06909,2.5344,0.866696,1.76501,0.144982,1.18083,-1.48382,-1.77194,-0.692296,-1.41874,1.1271,4.74949,1.89152,1.47645,-1.76485,0.948454,-0.228702,-1.65142,1.44716,-1.06655,1.60054,0.353575,-1.62053,-0.429939,-2.03083,-0.299788,2.04581,1.91798,-1.40278,1.43056,0.733573,-0.968485,1.7784,-0.488804,3.9553,1.60264,0.928995,-0.276654,-0.44406,0.297109
-2194.75,0,10.9517,0,1,1,2236.65,2.23763,3.20732,6.06961,2.40717,2.30654,2.39398,6.40941,7.18686,2.4238,7.10647,2.31959,3.06167,2.13054,7.94879,4.0126,4.07261,3.21037,3.50102,2.64117,2.64759,4.78571,2.62457,3.05347,4.27265,2.75702,2.19275,2.39071,2.22098,0.343759,1.0454,3.84278,0.972159,6.35202,4.41307,0.286588,1.71653,1.02512,2.84336,2.18281,4.27787,0.540421,0.620426,1.89152,1.47645,-1.76485,0.948454,-0.228702,-1.65142,1.44716,-1.06655,1.60054,0.353575,-1.62053,-0.429939,-2.03083,-0.299788,2.04581,1.91798,-1.40278,1.43056,0.733573,-0.968485,1.7784,-0.488804,3.9553,1.60264,0.928995,-0.276654,-0.44406,0.297109,1.25622,0.298519,0.828629,0.316463,2.73221,0.467724,1.52932,0.365838,2.06909,2.5344,0.866696,1.76501,0.144982,1.18083,-1.48382,-1.77194,-0.692296,-1.41874,1.1271,4.74949,1.89152,1.47645,-1.76485,0.948454,-0.228702,-1.65142,1.44716,-1.06655,1.60054,0.353575,-1.62053,-0.429939,-2.03083,-0.299788,2.04581,1.91798,-1.40278,1.43056,0.733573,-0.968485,1.7784,-0.488804,3.9553,1.60264,0.928995,-0.276654,-0.44406,0.297109
-2194.75,0,1.19873,0,1,1,2237.98,2.23763,3.20732,6.06961,2.40717,2.30654,2.39398,6.40941,7.18686,2.4238,7.10647,2.31959,3.06167,2.13054,7.94879,4.0126,4.07261,3.21037,3.50102,2.64117,2.64759,4.78571,2.62457,3.05347,4.27265,2.75702,2.19275,2.39071,2.22098,0.343759,1.0454,3.84278,0.972159,6.35202,4.41307,0.286588,1.71653,1.02512,2.84336,2.18281,4.27787,0.540421,0.620426,1.89152,1.47645,-1.76485,0.948454,-0.228702,-1.65142,1.44716,-1.06655,1.60054,0.353575,-1.62053,-0.429939,-2.03083,-0.299788,2.04581,1.91798,-1.40278,1.43056,0.733573,-0.968485,1.7784,-0.488804,3.9553,1.60264,0.928995,-0.276654,-0.44406,0.297109,1.25622,0.298519,0.828629,0.316463,2.73221,0.467724,1.52932,0.365838,2.06909,2.5344,0.866696,1.76501,0.144982,1.18083,-1.48382,-1.77194,-0.692296,-1.41874,1.1271,4.74949,1.89152,1.47645,-1.76485,0.948454,-0.228702,-1.65142,1.44716,-1.06655,1.60054,0.353575,-1.62053,-0.429939,-2.03083,-0.299788,2.04581,1.91798,-1.40278,1.43056,0.733573,-0.968485,1.7784,-0.488804,3.9553,1.60264,0.928995,-0.276654,-0.44406,0.297109
-1609.58,1,0.0722879,2,3,0,2092.92,2.22479,3.21755,5.48606,2.38421,2.36885,2.36548,5.99105,6.97632,2.38673,6.56807,2.27783,3.05213,2.1198,7.47597,4.01209,3.85054,3.20974,3.54022,2.69942,2.59907,4.95677,2.61804,3.01902,4.21832,2.78027,2.16433,2.37287,2.20567,0.356021,1.06055,3.48326,0.959074,6.44576,4.02187,0.265734,1.83342,1.08204,2.78665,2.60719,4.30774,0.562717,0.613045,1.40189,1.42364,-1.77497,1.36181,-0.230282,-1.58932,1.39415,-1.03375,1.53993,0.442132,-1.63254,-0.376017,-1.93707,-0.254009,1.54722,1.91016,-1.40338,1.83497,0.653703,-0.850502,1.69811,-0.462891,3.74216,1.72064,1.05125,-0.212058,-0.288591,0.335446,1.56542,0.342511,0.531302,0.325286,1.41349,0.4446,0.694581,0.410077,2.21366,1.20078,0.775116,1.15644,0.145284,0.590861,-1.29352,-1.57565,-0.595598,-1.3352,1.09746,5.18517,1.40189,1.42364,-1.77497,1.36181,-0.230282,-1.58932,1.39415,-1.03375,1.53993,0.442132,-1.63254,-0.376017,-1.93707,-0.254009,1.54722,1.91016,-1.40338,1.83497,0.653703,-0.850502,1.69811,-0.462891,3.74216,1.72064,1.05125,-0.212058,-0.288591,0.335446
-1357,0.715647,0.0584098,3,7,0,1652.44,2.22057,3.42033,5.32116,2.37248,2.35075,2.37554,5.58783,5.60668,2.36434,5.89975,2.27998,3.18286,2.09836,6.32425,4.03391,3.42807,3.12353,3.09981,2.58407,2.56441,4.62532,2.44954,2.91047,3.88575,2.76404,2.20791,2.36157,2.27547,0.280775,1.13361,2.59189,0.848723,4.54363,2.98324,0.320429,1.69726,0.908062,2.55394,2.38237,3.33688,0.537704,0.533973,1.39315,1.41861,-1.69916,1.35331,0.0352232,-1.48283,1.25896,-1.09696,1.7623,0.675155,-1.6147,-0.309046,-1.90767,-0.311289,1.53113,1.98155,-1.25983,1.78704,0.955158,-0.700431,1.56644,-0.523732,3.46295,2.15327,0.679451,-0.140798,-0.580602,0.208823,2.04074,0.360387,0.385644,0.438792,0.950896,0.508969,0.657253,0.534506,2.96622,0.921601,0.884471,0.754201,0.242792,0.445704,-0.825512,-1.23121,-0.162211,-1.1193,1.22837,4.48401,1.39315,1.41861,-1.69916,1.35331,0.0352232,-1.48283,1.25896,-1.09696,1.7623,0.675155,-1.6147,-0.309046,-1.90767,-0.311289,1.53113,1.98155,-1.25983,1.78704,0.955158,-0.700431,1.56644,-0.523732,3.46295,2.15327,0.679451,-0.140798,-0.580602,0.208823
-1340.46,0.0481762,0.0232213,5,31,0,1405.87,2.23009,3.50052,5.27368,2.37048,2.34124,2.36946,5.52493,5.69168,2.37122,6.0542,2.27311,3.21328,2.09796,6.26727,4.00223,3.39573,3.12821,3.07182,2.57692,2.5889,4.57472,2.45031,2.90501,3.86856,2.7634,2.20339,2.36331,2.26477,0.287325,1.12494,2.61238,0.863601,4.5173,2.87998,0.305728,1.69084,0.881393,2.55097,2.43069,3.18819,0.557598,0.544455,1.34593,1.441,-1.6996,1.37653,0.0187703,-1.50958,1.27709,-1.13401,1.76521,0.651068,-1.59917,-0.278563,-1.93256,-0.344178,1.47968,2.00324,-1.26131,1.80545,0.954929,-0.706416,1.58551,-0.559346,3.47852,2.05426,0.650289,-0.106712,-0.63708,0.176865,1.97644,0.367927,0.384409,0.444155,0.95041,0.499207,0.636265,0.529099,2.9839,0.956695,0.8876,0.814178,0.263463,0.447243,-0.793313,-1.23663,-0.172461,-1.08114,1.22343,4.57277,1.34593,1.441,-1.6996,1.37653,0.0187703,-1.50958,1.27709,-1.13401,1.76521,0.651068,-1.59917,-0.278563,-1.93256,-0.344178,1.47968,2.00324,-1.26131,1.80545,0.954929,-0.706416,1.58551,-0.559346,3.47852,2.05426,0.650289,-0.106712,-0.63708,0.176865
-921.027,0.97817,0.00124629,9,511,0,1390.42,2.24085,2.86696,3.35442,2.33723,2.43287,2.2194,2.8708,3.06079,2.60175,2.8156,2.24874,3.32806,2.21401,3.00687,2.70384,2.99383,2.99954,2.47808,2.44435,2.62819,2.95123,2.3047,2.88904,3.68747,2.15707,2.08594,2.25074,2.32237,0.186269,1.0927,1.8658,0.74104,1.63678,1.57527,0.328677,1.77243,0.235828,2.00901,1.27553,2.15429,0.670555,0.957261,0.996067,0.90898,-1.3636,1.08045,-0.435987,-1.0338,1.12937,-0.98522,2.09458,1.13932,-0.929691,0.502929,-1.90186,-0.158516,1.14862,1.55567,-0.913719,1.35447,0.327727,1.07569,1.55707,-0.512467,3.84872,2.09398,0.440698,0.651967,-0.498889,0.704509,3.31103,1.43851,0.416069,2.68234,0.588197,0.517903,0.530643,1.2481,11.1845,0.896,0.560568,0.533851,0.658428,0.49593,3.93541,2.76859,1.66598,0.0765489,0.666332,2.28402,0.996067,0.90898,-1.3636,1.08045,-0.435987,-1.0338,1.12937,-0.98522,2.09458,1.13932,-0.929691,0.502929,-1.90186,-0.158516,1.14862,1.55567,-0.913719,1.35447,0.327727,1.07569,1.55707,-0.512467,3.84872,2.09398,0.440698,0.651967,-0.498889,0.704509
-905.402,0.703226,0.00117203,11,2047,0,961.066,2.40979,3.02487,3.62014,2.21453,2.23819,2.23627,3.15206,3.42503,2.62767,2.88972,2.19996,3.33686,2.21104,3.35124,2.98354,3.3088,3.1378,2.31392,2.35018,3.14097,2.51355,2.47008,2.75268,3.20022,2.10955,2.05242,2.37809,2.40647,0.200356,2.085,1.50118,0.886696,1.65976,1.54888,0.633547,1.85574,0.17696,2.59901,1.20987,2.94439,0.572524,0.929984,1.16641,1.28531,-1.71489,1.1154,-0.645673,-1.73852,1.22332,-0.732967,1.97741,1.62397,-1.09301,0.522312,-1.73707,-0.143389,1.25452,1.88213,-1.1123,1.43402,0.562255,-0.035388,1.69983,-0.059154,3.09485,2.02337,-0.204605,0.723115,0.129338,0.390958,2.18573,0.373569,0.335858,1.49264,0.968585,0.532751,0.7274,0.848806,3.89121,0.943715,0.899792,0.774774,0.668312,0.391308,2.50295,2.83834,1.26438,-0.0467712,1.07309,5.15035,1.16641,1.28531,-1.71489,1.1154,-0.645673,-1.73852,1.22332,-0.732967,1.97741,1.62397,-1.09301,0.522312,-1.73707,-0.143389,1.25452,1.88213,-1.1123,1.43402,0.562255,-0.035388,1.69983,-0.059154,3.09485,2.02337,-0.204605,0.723115,0.129338,0.390958
-880.662,0.852754,0.000494515,12,8191,0,944.947,2.38251,2.72214,3.52911,2.56683,2.20774,2.25107,3.18641,3.09606,2.74897,2.98178,2.44393,4.29094,2.098,3.82205,3.8254,4.03913,3.06383,2.34485,2.48371,2.93074,2.68384,2.54156,2.36456,3.71893,2.34401,2.04501,2.18394,2.40369,0.185148,1.17864,1.64627,1.09749,2.21092,1.32766,0.732551,1.38292,0.202398,2.18811,1.91454,1.28418,1.09682,1.41199,1.50792,1.06259,-1.39505,1.20415,-0.532736,-1.21925,1.3935,-0.676635,2.46212,1.30479,-0.668282,0.454122,-1.679,-0.068904,1.64994,1.47219,-0.909896,1.77463,0.198947,1.14118,1.67704,0.567684,3.26869,2.06426,0.732164,0.633309,0.275702,0.61617,3.38932,1.26965,0.355082,1.98297,0.671772,0.467662,0.767588,1.0913,8.83971,0.880491,0.88966,0.601913,0.699417,0.479977,3.05515,2.43321,1.18808,0.441707,1.74554,2.78036,1.50792,1.06259,-1.39505,1.20415,-0.532736,-1.21925,1.3935,-0.676635,2.46212,1.30479,-0.668282,0.454122,-1.679,-0.068904,1.64994,1.47219,-0.909896,1.77463,0.198947,1.14118,1.67704,0.567684,3.26869,2.06426,0.732164,0.633309,0.275702,0.61617
-874.122,0.956713,0.000346727,13,8191,0,926.31,2.50346,2.65831,3.98797,3.13224,2.19502,2.16565,3.20236,2.89105,2.72075,3.60066,2.29905,3.74175,2.12582,4.92917,3.74649,3.66187,3.8941,2.47919,2.54353,3.63811,3.0358,2.59944,2.30597,2.42441,2.50798,2.01982,2.36537,2.73688,0.205558,1.48687,1.60085,2.93453,1.65311,1.45825,1.52968,1.44041,0.228542,1.25872,1.27972,1.7535,1.9647,2.64902,1.6459,1.22506,-0.505649,1.4227,-0.974319,-1.72894,1.04921,-0.0519405,2.38148,1.34,-0.270855,0.494613,-1.42606,-0.590784,1.80462,1.54763,-0.0758481,1.86112,0.0428742,-0.0428626,1.15534,0.762803,3.37433,2.02133,0.62494,0.664015,-0.450635,0.228008,2.25862,0.598137,0.403698,1.87223,0.764096,0.519739,0.604093,1.24222,5.63027,0.874425,0.739641,0.759854,0.698822,0.417961,3.27217,2.67664,1.53507,0.53793,0.715523,4.89111,1.6459,1.22506,-0.505649,1.4227,-0.974319,-1.72894,1.04921,-0.0519405,2.38148,1.34,-0.270855,0.494613,-1.42606,-0.590784,1.80462,1.54763,-0.0758481,1.86112,0.0428742,-0.0428626,1.15534,0.762803,3.37433,2.02133,0.62494,0.664015,-0.450635,0.228008
