"","stretch","bu.","ca.","ch.","co.","co.","de.","fe.","fr.","gl.","gl.","gr.","mi.","mi.","pl."
"1","burkei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","californica","-0.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","chrysantha","-1.46","-1.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","conjugens",NA,"0.24","1.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","coulteri","-0.69","-0.35","0.77","-0.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","debilis","-0.95","-0.6","0.51","-0.84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ferrisiae","-0.73","-0.38","0.73","-0.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","fremontii","-0.25",NA,"1.21",NA,"0.44","0.7","0.48",NA,NA,NA,NA,NA,NA,NA
"9","glaberrima","0.15","0.49","1.61","0.26","0.84","1.09","0.87","0.4",NA,NA,NA,NA,NA,NA
"10","glabrata","-0.6",NA,"0.86","-0.49",NA,NA,NA,"-0.35","-0.75",NA,NA,NA,NA,NA
"11","gracilis","-0.56",NA,"0.9","-0.45",NA,"0.39",NA,"-0.31","-0.71",NA,NA,NA,NA,NA
"12","microglossa","-0.74","-0.39","0.72","-0.63",NA,NA,NA,"-0.49","-0.89",NA,NA,NA,NA,NA
"13","minor","-0.56",NA,"0.9","-0.45",NA,"0.39",NA,"-0.31","-0.7",NA,NA,NA,NA,NA
"14","platycarpha","-1.39","-1.04",NA,"-1.28","-0.7","-0.44","-0.66","-1.14","-1.54","-0.79","-0.83","-0.65","-0.84",NA
