"","x\_max","bu.","ca.","ch.","co.","co.","de.","fe.","fr.","gl.","gl.","gr.","mi.","mi.","pl."
"1","burkei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","californica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","chrysantha","-0.74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","conjugens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","coulteri","-0.66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","debilis","-0.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ferrisiae","-0.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","fremontii","-1.35","-1.01","-0.62","-0.9","-0.69","-0.79","-0.73",NA,NA,NA,NA,NA,NA,NA
"9","glaberrima",NA,"0.73","1.12","0.84","1.05","0.95","1.01","1.74",NA,NA,NA,NA,NA,NA
"10","glabrata",NA,NA,NA,NA,NA,NA,NA,"1.02","-0.71",NA,NA,NA,NA,NA
"11","gracilis",NA,NA,NA,NA,NA,NA,NA,"0.98","-0.76",NA,NA,NA,NA,NA
"12","microglossa","-0.68",NA,NA,NA,NA,NA,NA,"0.68","-1.06",NA,NA,NA,NA,NA
"13","minor",NA,NA,NA,NA,NA,NA,NA,"1.09","-0.65",NA,NA,NA,NA,NA
"14","platycarpha","-0.51",NA,NA,NA,NA,NA,NA,"0.84","-0.9",NA,NA,NA,NA,NA
