"","x\_min","bu.","ca.","ch.","co.","co.","de.","fe.","fr.","gl.","gl.","gr.","mi.","mi.","pl."
"1","burkei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","californica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","chrysantha","2.59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","conjugens",NA,NA,"-2.41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","coulteri","2.53",NA,NA,"2.36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","debilis","2.14",NA,NA,"1.96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ferrisiae","2.33",NA,NA,"2.16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","fremontii","2.01",NA,NA,"1.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","glaberrima",NA,NA,"-2.36",NA,"-2.3","-1.9","-2.1","-1.77",NA,NA,NA,NA,NA,NA
"10","glabrata","1.34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","gracilis",NA,NA,"-1.77",NA,"-1.71",NA,"-1.51",NA,NA,NA,NA,NA,NA,NA
"12","microglossa","2.39",NA,NA,"2.22",NA,NA,NA,NA,"2.16",NA,"1.57",NA,NA,NA
"13","minor","1.92",NA,NA,"1.75",NA,NA,NA,NA,"1.69",NA,NA,NA,NA,NA
"14","platycarpha","1.93",NA,NA,"1.75",NA,NA,NA,NA,"1.69",NA,NA,NA,NA,NA
